Período;Retorno (%);Notas
Jan/2017;0.00;
Fev/2017;0.00;
Mar/2017;0.00;
Abr/2017;0.00;
Mai/2017;0.00;
Jun/2017;0.00;
Jul/2017;0.00;
Ago/2017;0.00;
Set/2017;0.00;
Out/2017;0.00;
Nov/2017;0.00;
Dez/2017;0.00;
Jan/2018;0.00;
Fev/2018;0.00;
Mar/2018;0.00;
Abr/2018;0.00;
Mai/2018;0.00;
Jun/2018;0.00;
Jul/2018;0.00;
Ago/2018;0.00;
Set/2018;0.00;
Out/2018;0.00;
Nov/2018;0.00;
Dez/2018;0.00;
Jan/2019;0.00;
Fev/2019;0.00;
Mar/2019;0.00;
Abr/2019;0.00;
Mai/2019;0.00;
Jun/2019;0.00;
Jul/2019;0.00;
Ago/2019;0.00;
Set/2019;0.00;
Out/2019;0.00;
Nov/2019;0.00;
Dez/2019;0.00;
Jan/2020;0.00;
Fev/2020;0.00;
Mar/2020;0.00;
Abr/2020;0.00;
Mai/2020;0.00;
Jun/2020;0.00;
Jul/2020;0.00;
Ago/2020;0.00;
Set/2020;0.00;
Out/2020;0.00;
Nov/2020;0.00;
Dez/2020;0.00;
Jan/2021;0.00;
Fev/2021;0.00;
Mar/2021;0.00;
Abr/2021;0.00;
Mai/2021;0.00;
Jun/2021;0.00;
Jul/2021;0.00;
Ago/2021;0.00;
Set/2021;0.00;
Out/2021;0.00;
Nov/2021;0.00;
Dez/2021;0.00;
Jan/2022;0.00;
Fev/2022;0.00;
Mar/2022;0.00;
Abr/2022;0.00;
Mai/2022;0.00;
Jun/2022;0.00;
Jul/2022;0.00;
Ago/2022;0.00;
Set/2022;0.00;
Out/2022;0.00;
Nov/2022;0.00;
Dez/2022;0.00;
Jan/2023;0.00;
Fev/2023;0.00;
Mar/2023;0.00;
Abr/2023;0.00;
Mai/2023;0.00;
Jun/2023;0.00;
Jul/2023;0.00;
Ago/2023;0.00;
Set/2023;0.00;
Out/2023;0.00;
Nov/2023;0.00;
Dez/2023;0.00;
Jan/2024;0.00;
Fev/2024;0.00;
Mar/2024;0.00;
Abr/2024;0.00;
Mai/2024;0.00;
Jun/2024;0.00;
Jul/2024;0.00;
Ago/2024;0.00;
Set/2024;0.00;
Out/2024;0.00;
Nov/2024;0.00;
Dez/2024;0.00;
Jan/2025;0.00;
Fev/2025;0.00;
Mar/2025;0.00;
Abr/2025;0.00;
Mai/2025;0.00;
Jun/2025;0.00;
Jul/2025;0.00;
Ago/2025;0.00;
Set/2025;0.00;
Out/2025;0.00;
Nov/2025;0.00;
Dez/2025;0.00;
